agent,mode,sessions,usd,committed_lines,usd_per_committed_line
claude_code,human,2166,33451.96990379996,11852981,0.0028222410804336867
claude_code,vibe,2994,26409.737710499976,865872,0.030500741114737485
claude_code,collab,1557,18771.587723950015,2245224,0.008360674803026342
claude_code,unknown,513,18107.809102149982,,
codex,vibe,608,7825.765251450004,173763,0.045037005872654155
codex,unknown,74,4940.436903500002,,
codex,human,257,3472.5502023999993,689539,0.0050360461154481465
codex,collab,228,2809.675465200004,554609,0.005066047368867083
opencode,vibe,438,573.7549251999995,755976,0.0007589591801856137
opencode,collab,210,190.85258125,490224,0.0003893170902485394
opencode,human,122,116.61093850000006,168432,0.0006923324457347776
opencode,unknown,13,5.967116999999998,,
cursor,human,29,0.0,248550,0.0
cursor,vibe,32,0.0,3593,0.0
cursor,unknown,2,0.0,,
cursor,collab,23,0.0,6834,0.0
