model,calls,ctx_tokens,output_tokens
,13693,976402,3097
big-pickle,3525,258340154,1049896
<synthetic>,2269,0,0
glm-5,1987,168103706,546417
qwen3.6-plus,1456,190330456,441487
mimo-v2.5-free,1008,87851739,316628
gemini-3.1-pro-preview,598,30999814,80053
glm-5.1,419,25866293,127192
exact-dodo,355,81608617,162400
glm-4.7,327,41114939,82546
deepseek-v4-flash-free,309,23672140,109336
google/gemini-3.1-pro-preview,305,11375153,23350
nemotron-3-super-free,217,6415405,37463
stealth,152,10069856,55695
huge-cougar,87,32604375,33069
kimi-k2.5,58,3364207,40397
gemini-3.1-pro-high,40,1741107,3057
glm-5.2,37,2279311,37637
north-mini-code-free,33,723320,4009
minimax-m2.5-free,30,573442,10518
gemini-3.5-flash,28,897658,3447
gpt-5.1-codex-mini,27,1995873,12754
z-ai/glm-5.1,26,961616,9334
benchmark-feedback,24,0,0
moonshotai/kimi-k2-instruct,12,158056,1153
moonshotai/kimi-k2.6-20260420,9,634226,1417
ling-2.6-flash-free,7,94694,377
qwen3.5,6,311868,1383
gpt-5-mini,5,130052,6030
gemini-2.5-flash,4,83912,225
gpt-5.2-codex,2,62826,94
gemini-3.1-pro,1,0,0
gpt-5.2,1,46045,1959
gemini-3.1-flash,1,0,0
