agent,tool_kind,tool_results,repeated_results,pct_results_repeated,repeated_chars,pct_chars_repeated
claude_code,read,141736,4569,3.223598803409155,29723990,3.8011891032506573
claude_code,edit,131514,89560,68.09921377191782,13084760,59.77198522232183
claude_code,bash,283632,22223,7.83515259209116,4270099,1.4779378125807103
claude_code,mcp,12384,1670,13.485142118863049,3090854,1.1082212694272144
opencode,read,15867,561,3.5356400075628662,2371990,1.7183709421263411
codex,edit,24569,14795,60.21816109731776,2255599,48.768284601422444
claude_code,other,55390,11899,21.482217006679907,663984,4.775103048343905
claude_code,todo,5330,3561,66.81050656660413,606816,10.386411207854028
opencode,bash,9521,1259,13.223400903266464,529011,1.38716632984661
codex,bash,267922,915,0.3415173072759982,327710,0.032675374829378954
claude_code,write,20910,2174,10.396939263510282,303224,6.148069148138085
codex,mcp,1194,252,21.105527638190956,286033,2.4998769870308934
claude_code,glob,6888,1242,18.031358885017422,261027,5.110265579069265
opencode,grep,3270,307,9.388379204892967,220878,2.8997204622108046
claude_code,grep,38784,6296,16.233498349834985,201204,0.4868474791613701
opencode,edit,4195,3205,76.40047675804529,183552,58.691564878173565
claude_code,task,17622,274,1.5548745885824538,108895,0.11932976766775313
claude_code,web,3069,149,4.855001629195177,87251,1.3232184489570353
opencode,write,1111,699,62.91629162916291,82870,39.36667490071636
codex,other,5662,413,7.294242317202402,80940,0.645595454127428
codex,todo,3939,3464,87.94110180248794,41810,39.237215762455776
codex,task,2234,335,14.995523724261414,17510,0.967070984446229
opencode,glob,2123,548,25.812529439472446,13282,1.018557501106211
codex,write,1080,31,2.8703703703703702,4699,2.4345258140559025
opencode,todo,838,4,0.477326968973747,1845,0.296048831208842
