file_path_90,tool_kind,repeated_occurrences,sessions,repeated_chars
themes/portio/assets/images/writing/hypothesis.jpg,read,1,1,645439
public/images/writing/hypothesis_hu_a01b8ffa7e1d0e3f.jpg,read,1,1,630963
/Users/jeevanpillay/Desktop/Screenshot 2026-04-18 at 2.34.32 PM.png,read,2,1,285060
sample_apps/osvauld-demos/permit_template.json,read,7,8,250664
docs/plans/2026-02-06-session-phase-state-machine-v2.md,read,6,5,229632
cmd/entire/cli/hooks_claudecode_handlers.go,read,7,78,225736
slide-24-final.png,read,1,1,196438
data/joint/whitney_fine_2d_C2D2_pbf-exp-exp.png,read,1,1,188942
/tmp/paper_audit/fig6_hires.png,read,1,1,188034
"MonoDreams.Examples/bin/Debug/net8.0/debug/screenshot_000002_gt6,00_20260217_211734_264.pn",read,1,1,185574
/tmp/skf-footer-dark-absolute-bottom.png,read,1,1,185486
/Users/jakobfaber/Developer/scratch/worktrees/faber2026-johndoeii/figures/sightline_dm_sca,read,1,1,184246
cmd/entire/cli/strategy/manual_commit_hooks.go,read,19,309,183341
/tmp/figreview/page28_top-28.png,read,1,1,182470
/tmp/lightfast-desktop8.png,read,1,1,180882
/tmp/lightfast-desktop6.png,read,1,1,180866
/tmp/paper_audit/fig1_hires.png,read,1,1,174422
/Users/ta93abe/Developer/github.com/ta93abe/slides/slide3-dark-retry.png,read,1,1,172594
/tmp/paper_audit/fig3_hires.png,read,1,1,166718
/tmp/paper_audit/fig_f2_hires.png,read,1,1,165606
