session_id,agent,repeated_results,repeated_chars,max_times_same_result
8fb9c608-e9d6-441a-a521-ca4f3b79a9b4,claude_code,183,1374354,21
a819a36d-8818-470b-b2fb-eacc5a34369e,claude_code,16,1261877,4
2cc7fe3e-bf24-49a2-96cb-3b9179db8782,claude_code,235,906919,53
8603fa2a-25c9-4c76-87d4-83228bd296a6,claude_code,1209,703882,85
8e345b8c-dd3b-4bb1-bd2d-ac84987ff616,claude_code,256,661411,198
83180c0d-bbe5-4c61-b9bc-5700e05669e4,claude_code,992,611877,51
93524006-88e3-4f85-9fa5-3161115f77ec,claude_code,104,588985,51
b0f301c7-a7ad-4dbf-baf9-ca56ddf7de06,claude_code,24,551362,6
a1ac494b-68ad-46a3-a108-614ece008190,claude_code,44,526446,16
8d58fde0-5c32-463d-ac3c-f0c840c3d193,claude_code,202,513376,15
0959d8ff-f53e-4750-a836-35d84e1c98de,claude_code,84,472835,18
39105afc-d9df-4d14-8e63-0823b58441a8,claude_code,107,460129,14
85501d26-d82a-431a-bb17-9ab3643262c2,claude_code,26,362734,20
2cae28a4-28e8-4bfa-9225-7682543f3664,claude_code,1683,361530,194
ba40f717-f702-4a9e-9f76-b57a4768e4c0,claude_code,4,355239,2
e5367972-885e-46b8-bcdf-22e3e6b87525,claude_code,97,349786,12
20430269-c3d6-46f0-a275-830e2c7009f4,claude_code,640,336838,80
ses_178885d42ffe8daG4lOcU4Vm8r,opencode,529,335352,194
1a289c77-a9da-491d-954a-2df7f0dd6a17-8eacff7bdb26,claude_code,192,323407,23
2def5933-7d7d-48c7-9c80-b3730c4d8579,claude_code,118,317686,31
