agent,tool_kind,tool_results,result_chars,avg_later_calls,rent_tokens,rent_usd
codex,bash,267922,1002926521,916.3952083068953,277965989917.75,133969.45188996295
claude_code,read,141736,781965569,189.84965005362082,32837503281.5,15711.976767056178
claude_code,bash,283632,288922779,223.80431686128506,14430924317.5,7175.308902499946
claude_code,mcp,12384,278902245,191.2050226098191,7706172753.75,3803.887781749998
claude_code,task,17622,91255520,183.28152309612983,3825771697.25,1897.8826408000004
codex,other,5662,12537263,1569.011303426351,2103571814.75,1033.8912175062496
claude_code,grep,38784,41327933,180.0806775990099,1713329248.0,829.8405669500003
claude_code,edit,131514,21891125,208.1802241586447,1224239079.0,596.4278007000048
codex,edit,24569,4625135,1061.824738491595,1169085430.0,551.2310317749998
claude_code,other,55390,13905124,175.0840223867124,570346514.75,277.6341071750007
opencode,read,15867,138037134,86.6183903699502,1774820457.5,257.9654397062502
claude_code,todo,5330,5842403,287.61294559099434,315039395.5,157.25764809999995
claude_code,web,3069,6593847,188.72759856630825,279999978.0,136.86664795000002
codex,mcp,1194,11441883,133.49162479061977,516649633.25,129.16160262500003
claude_code,write,20910,4932020,209.92128168340506,211903653.5,104.47276919375005
opencode,bash,9521,38136090,138.7194622413612,554025658.0,85.96143451249998
codex,task,2234,1810622,286.4601611459266,169142317.5,63.65667329999998
claude_code,glob,6888,5107895,121.91608594657374,120880291.0,53.96120696250004
opencode,grep,3270,7617217,100.0816513761468,242424005.25,45.588862737500015
opencode,web,179,1850406,187.18435754189943,89016050.75,27.854787606249996
codex,todo,3939,106557,1877.6047220106625,43059622.25,21.419431225000004
opencode,other,270,1876188,148.25925925925927,52031006.25,13.156657306249999
codex,write,1080,193015,648.9351851851852,29646588.5,12.80966339375
opencode,task,429,1375294,199.28205128205127,81936386.75,4.783665074999998
opencode,glob,2123,1304001,69.65614696184645,27517965.75,4.608732793749999
opencode,todo,838,623208,176.0,32439475.0,3.2601422687499984
opencode,edit,4195,312740,192.0326579261025,13363062.75,2.09853895
opencode,write,1111,210508,264.74257425742576,10952558.0,0.3706907812499999
