agent,month,sessions,median_entry_tokens,p90_entry_tokens,median_entry_usd,total_entry_usd
claude_code,2026-01-01 00:00:00,131,34854.0,43236.0,0.21704375,24.1284375
claude_code,2026-02-01 00:00:00,1658,12332.5,31777.099999999988,0.06923125,152.52853249999998
claude_code,2026-03-01 00:00:00,2274,19622.0,38057.6,0.113888125,293.90662500000013
claude_code,2026-04-01 00:00:00,1430,23378.5,44463.20000000006,0.13787812500000002,220.80931875000002
claude_code,2026-05-01 00:00:00,851,30313.0,59848.0,0.18405,167.8879074999999
claude_code,2026-06-01 00:00:00,685,26275.0,57630.200000000004,0.16600625,141.5161924999997
claude_code,2026-07-01 00:00:00,80,33176.0,52410.5,0.279715625,23.724666250000002
codex,2026-03-01 00:00:00,4,20823.0,25257.6,0.0520575,0.21592250000000002
codex,2026-04-01 00:00:00,629,22944.0,50454.20000000002,0.0570325,48.13007200000001
codex,2026-05-01 00:00:00,249,30685.0,40075.00000000003,0.150045,37.53295350000001
codex,2026-06-01 00:00:00,244,22805.0,39993.0,0.114025,29.08278475
codex,2026-07-01 00:00:00,39,21696.0,27204.4,0.10848,4.337534999999999
opencode,2026-02-01 00:00:00,4,12989.0,17443.0,0.047345625,0.21171275
opencode,2026-03-01 00:00:00,567,7174.0,12736.2,0.0125545,7.4943610000000405
opencode,2026-04-01 00:00:00,62,11605.5,22043.7,0.029446375,2.2847297499999994
opencode,2026-05-01 00:00:00,28,4088.5,15030.699999999999,0.011845625,0.651179
