harness_version,vkey,sessions,median_entry_tokens,p90_entry_tokens,median_entry_usd,total_entry_usd
2.1.17,"[2, 1, 17]",54,26796.5,28470.8,0.1006275,6.24502
2.1.34,"[2, 1, 34]",55,15094.0,33329.0,0.0943375,5.968141249999999
2.1.37,"[2, 1, 37]",73,26945.0,44205.0,0.16805,12.24263875
2.1.39,"[2, 1, 39]",115,12798.0,34961.2,0.07698125,11.530017500000005
2.1.42,"[2, 1, 42]",148,9716.0,27614.8,0.057896875,11.678237499999998
2.1.44,"[2, 1, 44]",57,10564.0,23899.799999999992,0.05530625,3.8969724999999995
2.1.45,"[2, 1, 45]",117,12441.0,30568.6,0.0536925,8.261768750000002
2.1.47,"[2, 1, 47]",128,12835.5,25257.99999999999,0.073503125,10.83649625
2.1.49,"[2, 1, 49]",140,11414.0,34883.3,0.06793125,12.14115125
2.1.50,"[2, 1, 50]",179,12504.0,28166.8,0.06165375,14.739458749999999
2.1.52,"[2, 1, 52]",163,8927.0,21165.800000000007,0.05075,12.05362
2.1.56,"[2, 1, 56]",57,10205.0,28447.399999999998,0.06378125,4.796326250000001
2.1.59,"[2, 1, 59]",103,15591.0,35430.2,0.080175,9.774705000000003
2.1.62,"[2, 1, 62]",223,20908.0,41838.00000000001,0.12755,28.555047500000015
2.1.63,"[2, 1, 63]",383,12323.0,40524.200000000004,0.0728125,42.39353999999999
2.1.69,"[2, 1, 69]",62,13457.5,24558.199999999997,0.082921875,5.43178875
2.1.70,"[2, 1, 70]",281,25728.0,32796.0,0.15981875,41.91480749999997
2.1.71,"[2, 1, 71]",176,13188.5,29559.0,0.080603125,16.269800000000007
2.1.72,"[2, 1, 72]",113,14507.0,27859.0,0.08180625,10.442894999999995
2.1.74,"[2, 1, 74]",84,16757.5,29935.100000000006,0.10444375,9.151039999999998
2.1.75,"[2, 1, 75]",146,33817.5,40621.5,0.2109625,29.22030374999999
2.1.76,"[2, 1, 76]",90,16840.5,30688.00000000002,0.104290625,10.481875
2.1.78,"[2, 1, 78]",58,15388.5,40745.9,0.09518750000000001,7.11661625
2.1.79,"[2, 1, 79]",276,28109.0,41109.0,0.17074062499999998,42.349849999999996
2.1.80,"[2, 1, 80]",74,14586.0,44496.4,0.08508125,9.00175
2.1.81,"[2, 1, 81]",172,20492.0,38602.299999999996,0.128075,25.200341250000005
2.1.84,"[2, 1, 84]",54,14259.0,37962.0,0.08911875,6.911171250000003
2.1.87,"[2, 1, 87]",65,14519.0,31665.4,0.08389375,6.775978749999999
2.1.89,"[2, 1, 89]",57,24085.0,36689.799999999996,0.12295,7.336384999999998
2.1.91,"[2, 1, 91]",56,26364.5,42796.5,0.16049375,8.99090875
2.1.92,"[2, 1, 92]",167,13118.0,31345.4,0.07911875,16.652297499999996
2.1.114,"[2, 1, 114]",145,22077.0,45025.59999999999,0.13215625,23.137536250000014
2.1.116,"[2, 1, 116]",54,29637.5,58967.799999999996,0.17696250000000002,10.655266250000002
2.1.118,"[2, 1, 118]",92,30384.0,50469.200000000004,0.1899,18.442637499999996
2.1.119,"[2, 1, 119]",194,27977.5,49438.4,0.17485937499999998,35.6970275
2.1.126,"[2, 1, 126]",68,26863.5,63313.4,0.162271875,13.421952500000002
2.1.139,"[2, 1, 139]",60,32747.5,53803.3,0.19642187500000002,11.2121575
2.1.143,"[2, 1, 143]",66,33668.0,61537.5,0.1927875,12.81821625
2.1.150,"[2, 1, 150]",136,14678.5,45434.0,0.09138437499999999,19.680941250000004
2.1.170,"[2, 1, 170]",58,28557.5,52896.8,0.19569999999999999,17.196573750000002
2.1.195,"[2, 1, 195]",59,28689.0,47659.8,0.17995,11.980137500000003
