harness_version,vkey,sessions,median_entry_tokens,p90_entry_tokens,median_entry_usd,total_entry_usd
0.118.0,"[0, 118, 0]",170,18832.5,22342.399999999994,0.04706375,6.931372750000003
0.120.0,"[0, 120, 0]",39,19603.0,28042.600000000002,0.0490075,2.0056685
0.122.0-alpha.12,"[0, 122, 0]",31,51427.0,51618.0,0.1285675,3.9812225000000008
0.122.0-alpha.1,"[0, 122, 0]",27,22331.0,42704.4,0.039109,1.2558169999999997
0.122.0,"[0, 122, 0]",52,20526.5,26047.8,0.048437499999999994,2.2822020000000007
0.124.0-alpha.1,"[0, 124, 0]",21,54315.0,54439.0,0.13575,2.39509275
0.125.0,"[0, 125, 0]",62,23177.5,26000.8,0.11546500000000001,6.790187499999998
0.128.0,"[0, 128, 0]",20,25331.0,31371.0,0.11962249999999999,2.1387475
0.129.0-alpha.2,"[0, 129, 0]",38,34377.0,42649.1,0.17175249999999997,6.0639285
0.130.0,"[0, 130, 0]",36,24992.5,68302.5,0.1249625,5.937277500000001
0.133.0,"[0, 133, 0]",75,26936.0,39187.6,0.13468,10.311017499999995
0.139.0,"[0, 139, 0]",29,7165.0,18849.399999999998,0.035825,1.399905
0.140.0-alpha.19,"[0, 140, 0]",26,18661.5,19336.5,0.0933075,2.5133949999999996
0.140.0,"[0, 140, 0]",20,23007.0,24666.300000000007,0.115035,2.2962450000000008
0.140.0-alpha.2,"[0, 140, 0]",24,17893.5,34430.5,0.0894675,2.6789499999999995
0.141.0,"[0, 141, 0]",30,17597.5,44677.0,0.0879875,3.648948999999999
0.142.0,"[0, 142, 0]",27,39588.0,42110.200000000004,0.19794,4.943555
0.142.5,"[0, 142, 5]",35,22243.0,27207.2,0.111215,3.9214599999999997
1.0.0,"[1, 0, 0]",42,44920.5,49377.1,0.11230125,4.535671999999998
