agent,stop_reason,calls,pct_of_agent_calls
claude_code,tool_use,495764,73.18359966047902
claude_code,,128736,19.003727349891133
claude_code,end_turn,50615,7.471675831272835
claude_code,stop_sequence,2269,0.3349448278407204
claude_code,max_tokens,39,0.0057570948813521795
claude_code,refusal,2,0.0002952356349411374
codex,tool_use,196382,89.69467217794423
codex,end_turn,22563,10.305327822055768
cursor,tool_use,6048,67.87878787878788
cursor,end_turn,2862,32.121212121212125
opencode,tool-calls,24962,89.31267666106122
opencode,stop,2795,10.000357794554366
opencode,,178,0.6368743067730509
opencode,unknown,9,0.032201509893019425
opencode,other,2,0.00715589108733765
opencode,error,2,0.00715589108733765
opencode,length,1,0.003577945543668825
