model,file_tool_calls,missing_path_errors,pct_missing_path,usd_of_next_3_calls
glm-5,1049,34,3.2411820781696856,0.0
claude-sonnet-4-5-20250929,5635,94,1.668145519077196,11.338640399999985
big-pickle,3354,34,1.0137149672033392,0.0
claude-sonnet-4-6,18237,158,0.8663705653342106,15.657709699999993
claude-opus-4-5-20251101,8737,75,0.8584182213574454,13.693976699999993
claude-opus-4-6,154701,907,0.5862922670183127,222.32063335000026
claude-opus-4-8,39731,228,0.573859203141124,172.88595400000023
gpt-5.4,8394,47,0.5599237550631403,3.174234
claude-opus-4-7,61915,296,0.47807477994024067,185.9786292999999
claude-fable-5,4419,14,0.31681375876895224,11.632954499999954
gpt-5.3-codex,12831,40,0.3117449925960564,3.7252715500000035
gpt-5.5,18809,5,0.02658301876761125,0.8488480000000017
,6034,0,0.0,
