repo,files,edits,pct_of_edits_in_top_5pct_of_files,pct_of_edits_in_top_20pct_of_files
entireio/cli-checkpoints,2648,29389,45.04746673925619,77.05604137602505
E2E-Solution/cli,835,12369,43.786886571266876,76.68364459535937
fogodev/ars-ui,776,8707,38.53221545882623,74.23911795107385
FSM1/cipher-box,1559,6898,43.43287909538997,70.25224702812409
marcus-sa/brain,1212,6704,40.96062052505967,69.89856801909308
armelhbobdad/bmad-module-skill-forge,861,6309,32.937074021239496,62.5772705658583
TheurgicDuke771/DataQ,892,5478,43.355239138371665,71.46768893756845
evorto-app/app,290,4280,68.99532710280374,85.65420560747664
dayhaysoos/nimbus,362,3359,40.75617743376005,75.9154510270914
lightfastai/lightfast,894,3335,34.48275862068966,65.6071964017991
henryph24/neuralips26,271,3013,82.07766345834716,92.4327912379688
moltis-org/moltis,518,2628,37.36681887366819,67.96042617960426
entireio/git-sync,176,2625,46.095238095238095,75.77142857142857
ainaive/agentcenter-nuxt,469,2175,39.81609195402299,67.54022988505747
pcastelo/lock_code_manager,165,2119,42.89759320434167,76.92307692307692
raman325/lock_code_manager,227,1995,35.48872180451128,69.12280701754386
cyyeh/duckdb-data-agent,307,1981,50.93387178192832,78.19283190307925
jakobtfaber/dsa110-FLITS,527,1739,33.582518688901665,67.62507188039103
blackgirlbytes/planetfall-seed-signalkit,103,1726,73.29084588644264,90.44032444959444
roo-oliv/monodreams,349,1605,45.3582554517134,75.26479750778816
InTheCloudDan/family-schedule-agent-conversations,396,1591,28.158390949088624,58.07668133249528
fortuna/moltis,254,1556,41.580976863753214,73.39331619537275
BIDEquity/outbid-dirigent,334,1530,44.11764705882353,76.5359477124183
HMAKT99/cli,209,1489,43.45198119543318,69.91269308260577
TheUHO/AI-voyager,270,1487,41.761936785474106,76.52992602555481
scottdensmore/MovieSwiftUI,294,1406,45.092460881934564,69.98577524893314
marin-community/marin,199,1285,40.38910505836576,71.98443579766537
heath0xFF/fornax,137,1275,47.6078431372549,79.13725490196079
enactive/panopt,84,1218,45.566502463054185,80.45977011494253
Coderx85/wave,338,1198,29.04841402337229,59.76627712854758
