repo,file_path_70,agent,sessions,users,edits,pct_edits_followed_by_error,pct_edits_followed_by_short_correction
E2E-Solution/cli,cmd/entire/cli/strategy/manual_commit_hooks.go,claude_code,120,8,745,9.12751677852349,50.87248322147651
entireio/cli-checkpoints,cmd/entire/cli/strategy/manual_commit_condensation.go,codex,100,9,341,4.9853372434017595,80.35190615835778
henryph24/neuralips26,main.tex,claude_code,91,1,2012,3.3797216699801194,74.75149105367794
armelhbobdad/bmad-module-skill-forge,_bmad-output/implementation-artifacts/sprint-status.yaml,claude_code,90,1,223,7.174887892376682,22.869955156950674
entireio/cli-checkpoints,cmd/entire/cli/explain.go,codex,86,13,480,6.875,67.5
entireio/cli-checkpoints,cmd/entire/cli/checkpoint/committed.go,codex,83,9,362,4.419889502762431,75.96685082872928
entireio/cli-checkpoints,cmd/entire/cli/strategy/manual_commit_hooks.go,codex,83,9,315,7.936507936507937,72.6984126984127
FSM1/cipher-box,.planning/STATE.md,claude_code,83,2,205,6.829268292682927,43.90243902439025
E2E-Solution/cli,cmd/entire/cli/strategy/manual_commit_condensation.go,claude_code,76,9,268,8.955223880597014,58.208955223880594
cyyeh/duckdb-data-agent,backend/app/agent.py,claude_code,66,1,259,6.177606177606178,70.65637065637065
entireio/cli-checkpoints,cmd/entire/cli/migrate.go,codex,63,6,483,1.2422360248447204,72.67080745341615
entireio/cli-checkpoints,cmd/entire/cli/settings/settings.go,codex,62,9,165,2.4242424242424243,67.27272727272727
entireio/cli-checkpoints,cmd/entire/cli/strategy/push_common.go,codex,61,7,202,1.9801980198019802,59.9009900990099
FSM1/cipher-box,.planning/ROADMAP.md,claude_code,60,2,210,13.80952380952381,50.476190476190474
entireio/cli-checkpoints,cmd/entire/cli/attach.go,codex,59,8,209,5.2631578947368425,75.11961722488039
E2E-Solution/cli,cmd/entire/cli/setup.go,claude_code,52,9,359,14.484679665738161,54.59610027855153
cyyeh/duckdb-data-agent,README.md,claude_code,52,1,166,4.216867469879518,78.91566265060241
marcus-sa/brain,schema/surreal-schema.surql,claude_code,52,1,152,11.842105263157896,60.526315789473685
entireio/cli-checkpoints,CLAUDE.md,codex,52,9,91,7.6923076923076925,57.142857142857146
E2E-Solution/cli,cmd/entire/cli/strategy/common.go,claude_code,51,10,178,12.359550561797754,59.550561797752806
entireio/cli-checkpoints,cmd/entire/cli/strategy/common.go,codex,50,9,139,5.755395683453237,66.18705035971223
entireio/cli-checkpoints,cmd/entire/cli/resume.go,claude_code,49,7,268,2.985074626865672,77.98507462686567
entireio/cli-checkpoints,cmd/entire/cli/migrate_test.go,codex,49,5,193,2.5906735751295336,73.57512953367876
armelhbobdad/bmad-module-skill-forge,package.json,claude_code,49,1,102,11.764705882352942,49.01960784313726
E2E-Solution/cli,cmd/entire/cli/hooks_claudecode_handlers.go,claude_code,48,7,237,10.970464135021096,55.27426160337553
entireio/cli-checkpoints,cmd/entire/cli/explain_test.go,codex,47,8,240,2.0833333333333335,75.41666666666667
E2E-Solution/cli,cmd/entire/cli/strategy/auto_commit.go,claude_code,47,10,126,7.936507936507937,50.0
E2E-Solution/cli,cmd/entire/cli/lifecycle.go,claude_code,46,8,184,5.978260869565218,74.45652173913044
entireio/cli-checkpoints,cmd/entire/cli/checkpoint/v2_committed.go,codex,46,6,168,8.333333333333334,78.57142857142857
armelhbobdad/bmad-module-skill-forge,README.md,claude_code,46,1,104,13.461538461538462,83.65384615384616
