agent,model_family,sessions,usd,committed_lines,usd_per_committed_line,ctx_tokens_per_committed_line,output_tokens_per_committed_line
claude_code,opus,1199,29173.588071899976,630484,0.046271734210384365,61380.55408543278,172.35639603859892
codex,gpt-5.5,490,11493.476568299999,116703,0.09848484244878022,137514.08639023846,332.5749295219489
codex,gpt-5.4,525,3038.3136709500054,316719,0.009593089366125825,20180.45166851373,63.04344860901935
claude_code,fable,38,1556.9932395000005,4233,0.3678226410347273,215798.2546657217,820.7011575714623
opencode,gpt-5.3-codex,499,491.22474485000004,1069432,0.0004593323791040478,151.19360557754024,5.033536494138945
claude_code,sonnet,78,387.26568875,29182,0.013270704158385306,24534.32996367624,139.78054965389623
codex,gpt-5.3-codex,40,261.23117179999997,444704,0.0005874270791357847,1862.0142544254156,6.218293516586313
opencode,gpt-5.4,57,66.66390500000003,185527,0.00035932185072792654,82.6971438119519,4.242654707940084
opencode,sonnet,16,17.667908599999993,8424,0.0020973300807217467,2472.7283950617284,41.978513770180435
opencode,opus,10,14.975982999999996,2090,0.007165542105263156,5348.23062200957,37.16698564593302
claude_code,haiku,18,6.1774273499999985,35125,0.00017586981779359426,248.1381637010676,1.8736797153024911
opencode,other,15,0.0,1970,0.0,103152.92030456853,240.2284263959391
claude_code,unknown,35,0.0,98525,0.0,0.0,0.0
