mode,agent,sessions,usd,committed_lines,usd_per_committed_line
collab,claude_code,218,5207.327259150003,142313,0.03659066465572367
collab,codex,203,1923.3006652000013,529876,0.0036297183967569794
collab,opencode,156,152.04226304999995,438823,0.0003464774249526573
human,claude_code,347,9197.1552033,532882,0.017259271664833868
human,codex,233,2895.630732400001,199477,0.014516113298274994
human,opencode,61,106.88676585000005,88699,0.0012050504047396255
unknown,claude_code,170,6417.6763602,,
unknown,codex,66,2631.311729500001,,
vibe,claude_code,633,10301.865604850003,122354,0.08419721140992532
vibe,codex,555,7342.778283950003,148836,0.04933469243966516
vibe,opencode,378,365.8342536500003,739953,0.000494402014249554
