repo,agent,sessions,usd,committed_lines,usd_per_committed_line
AI-Stats/AI-Stats,codex,25,230.7304302499999,434824,0.0005306294736491083
EntityProcess/agentv,codex,25,589.9084465,1464,0.40294292793715847
HMAKT99/cli,claude_code,120,601.5387797000001,41427,0.014520452354744492
JustinBeaudry/kb,claude_code,26,163.95342630000005,50905,0.003220772542972204
SnowingFox/skills,claude_code,10,154.27163050000004,444,0.34745862725225235
basher83/domain-chassis,claude_code,17,15.155746300000004,8281,0.0018301831059050844
blackgirlbytes/planetfall-seed-signalkit,codex,45,420.429204,4897,0.08585444231161936
blackgirlbytes/planetfall-seed-signalkit,claude_code,20,366.55950820000004,7041,0.052060716972021026
cmgramse/skill-development,claude_code,11,490.9452725000001,4851,0.10120496237889097
computermode/test-repo,claude_code,28,6.8675869999999986,156,0.044022993589743584
dayhaysoos/nimbus,codex,68,568.3793773000001,111988,0.00507535965728471
dayhaysoos/nimbus,opencode,491,470.88530635,1132498,0.00041579349928211795
desplega-ai/agent-swarm,claude_code,36,394.71559125000005,56323,0.007008071147666141
entireio/cli-checkpoints,claude_code,771,18835.494571400002,265020,0.07107197408271075
entireio/cli-checkpoints,codex,439,6583.253365200004,143748,0.04579718232740632
entireio/cli-checkpoints,opencode,26,99.58354639999999,3423,0.029092476307332745
entireio/external-agents,claude_code,43,229.5837055,27966,0.008209386594436102
entireio/git-sync,claude_code,45,1429.22050825,4270,0.33471206282201404
entireio/git-sync,codex,52,359.620653,4811,0.07474966805237997
fogodev/ars-ui,claude_code,28,4480.8219819999995,78957,0.05675015491976645
fogodev/ars-ui,codex,58,4251.765722,43412,0.09793987197088364
galactica-labs/project-atlas,opencode,16,21.70034175,67930,0.0003194515199470043
geroitscompiling/hackathon_Buena,claude_code,25,0.0,1277,0.0
heath0xFF/fornax,claude_code,14,554.1203882,3653,0.15168912898987133
heath0xFF/fornax,opencode,10,7.1612323999999985,2331,0.0030721717717717713
jakobtfaber/dsa110-FLITS,claude_code,27,1506.2459485000002,111480,0.013511355835127378
jakobtfaber/dsa110-FLITS,codex,22,46.13248600000001,5068,0.009102700473559591
lgulliver/derrick,claude_code,16,157.34306500000002,20449,0.007694413663259818
liatrio-labs/ai-prompts,opencode,30,11.80681725,52531,0.00022475904227979668
m0nhawk/incomplete.fun,claude_code,10,11.624395800000002,623,0.018658741252006422
prayashm/agent-lab,claude_code,11,253.52074129999988,1335,0.18990317700374523
savekirk/session-bridge,codex,18,53.83647249999999,31349,0.001717326629238572
ta93abe/me,claude_code,11,91.6750571,14522,0.006312839629527614
zchee/agent,codex,14,13.021628799999998,55776,0.00023346293746414227
zchee/spanner-manager,codex,142,323.0319410000001,18365,0.017589542118159548
zchee/zmux,codex,86,780.253678,12143,0.06425542930083175
zchee/zmux,claude_code,12,202.13628750000012,8107,0.024933549710127064
