kind,mode,sessions,usd,pct_sessions_with_commits,committed_lines,usd_per_committed_line,median_session_usd
has sidechain calls,human,2,70.00779649999996,0.0,0,,35.00389824999998
has sidechain calls,unknown,1,16.320994750000004,0.0,,,16.320994750000004
has sidechain calls,vibe,2,16.300292000000006,100.0,1774,0.009188439684329202,8.150146000000003
no subagents,vibe,1695,8436.533569349996,99.35103244837758,348337,0.02421945865455004,1.4519180000000005
no subagents,human,1031,4737.498633099994,81.86226964112512,4475237,0.0010586028478715192,1.1375810000000002
no subagents,collab,768,3483.3843715499993,99.34895833333333,1167242,0.002984286353258364,1.5919245000000002
no subagents,unknown,194,2228.4945078,0.0,,,2.5803172500000002
uses the task tool,human,1133,28644.4634742,89.58517210944396,7377744,0.003882550475348562,6.691529550000003
uses the task tool,vibe,1297,17956.903849149996,99.46029298380878,515761,0.03481632742520275,4.442474999999999
uses the task tool,unknown,318,15862.993599600008,0.0,,,19.06325875
uses the task tool,collab,789,15288.203352399998,99.61977186311788,1077982,0.014182243629670995,5.3196475
