permission_mode,mode,sessions,usd,usd_per_committed_line,tool_error_rate_pct
acceptEdits,vibe,158,4864.526721999999,0.22779333748536637,2.52986647926915
acceptEdits,human,99,4262.75357765,0.013547862274983792,2.634384717903154
acceptEdits,unknown,48,1963.8964678500006,,2.241431299628103
acceptEdits,collab,55,1864.33326095,0.11730530805700623,2.8272364303442323
auto,vibe,172,3181.488718399999,0.07611763328468547,2.367014507508272
auto,human,93,2843.9290075500003,0.01078512271056923,2.6232948583420774
auto,unknown,37,1838.8674776499997,,2.8817248885663935
auto,collab,54,1451.3146715499997,0.02152136353802123,2.7528728374794795
bypassPermissions,unknown,58,3755.9534745500005,,2.878867026525045
bypassPermissions,human,158,3632.6399166000006,0.01602965279586974,3.5024094589895176
bypassPermissions,collab,237,2938.4368278000006,0.013572017661322731,3.3443085606773284
bypassPermissions,vibe,266,2660.2793466999988,0.029398600361365882,2.4466636404902404
default,human,113,3030.7069413000013,0.049938323935144774,3.5218562253987984
default,collab,85,1513.2992850500002,0.025181783593477,3.435162885029788
default,unknown,56,1440.9879724500001,,3.225341972642189
default,vibe,183,1162.4431474500004,0.039557719575648284,2.6562654290510515
no permission-mode events,human,1699,19525.823235099986,0.0017786899460202875,4.406356413166856
no permission-mode events,vibe,2202,14448.618595149996,0.021313067406106587,3.4776073742035885
no permission-mode events,collab,1117,10969.447225850005,0.005836684439663362,4.1569698968295095
no permission-mode events,unknown,312,9094.994416150004,,4.309968765813397
