file_path_80,agent,edits_in_thrash_windows,sessions,worst_burst
main.tex,claude_code,1416,74,78
static/index.html,claude_code,437,8,10
README.md,claude_code,435,128,15
cmd/entire/cli/strategy/manual_commit_hooks.go,claude_code,416,94,10
docs/progress.md,claude_code,385,27,27
src/droneBayView.js,codex,352,13,16
cmd/entire/cli/setup.go,claude_code,328,59,14
cmd/entire/cli/explain.go,claude_code,327,48,10
src/server.zig,claude_code,272,19,11
helpers/testing/stabilization-source.spec.ts,codex,247,2,6
CLAUDE.md,claude_code,220,66,12
cmd/entire/cli/migrate.go,codex,213,34,11
src/app.rs,claude_code,182,10,13
REDACTED.md,claude_code,179,23,15
cmd/entire/cli/trail_cmd.go,claude_code,175,21,11
crates/ars-components/src/selection/combobox/mod.rs,codex,172,2,10
cmd/entire/cli/checkpoint/committed.go,claude_code,167,37,9
cmd/entire/cli/search_tui.go,codex,164,14,10
cmd/entire/cli/resume.go,claude_code,159,29,10
src/islandView.js,codex,159,12,12
