session_model,user_repo_cells,sessions,usd,committed_lines,usd_per_committed_line,output_tokens_per_committed_line
claude-opus-4-7,39,1042,22032.933485650003,721005,0.030558641737089207,114.7089271225581
claude-opus-4-8,35,521,18168.80735915,480266,0.037830717475628085,180.18544306696705
claude-opus-4-6,58,2469,16951.8790851,3495519,0.004849602901629201,15.959452945328005
gpt-5.5,15,430,10501.608952000004,111890,0.09385654617928327,312.58020377156134
claude-fable-5,10,59,3518.8780425,24819,0.1417816206333857,293.211330029413
gpt-5.4,17,485,2956.496390300001,300601,0.00983528461415631,62.06035908064178
claude-opus-4-5-20251101,6,174,1335.8677274000001,389831,0.0034267868060775058,2.824565003809343
claude-sonnet-4-6,37,415,955.43883905,740866,0.001289624357238691,11.227169285673792
gpt-5.3-codex,4,527,547.6270023000002,1095554,0.0004998630850692893,5.259251483724216
claude-sonnet-4-5-20250929,6,81,312.21465295,297504,0.0010494469081087985,2.4061558836183714
claude-haiku-4-5-20251001,6,52,27.3752343,47719,0.0005736757748485928,3.511180033110501
claude-sonnet-4.6,1,11,11.24215175,6598,0.0017038726508032736,36.388754167929676
gpt-5.4-mini,3,41,10.0026282,6258,0.0015983745925215725,87.37903483541068
anthropic/claude-opus-4.6,1,5,6.975105499999999,1291,0.005402870255615801,19.33152594887684
claude-haiku-4.5,1,3,4.848179399999999,922,0.005258329067245118,220.44685466377442
gpt-5.3-codex-spark,1,4,0.9264846499999999,263,0.003522755323193916,51.00760456273764
glm-5,2,18,0.0,10988,0.0,22.54832544594103
glm-5.1,1,4,0.0,1893,0.0,28.37823560486001
gemini-3.1-pro-preview,1,25,0.0,2856,0.0,28.029761904761905
google/gemini-3.1-pro-preview,1,4,0.0,1039,0.0,22.473532242540905
mimo-v2.5-free,1,9,0.0,12519,0.0,21.523604121734962
nemotron-3-super-free,1,4,0.0,1996,0.0,5.946392785571143
big-pickle,1,36,0.0,15890,0.0,66.05273757079925
