timezone,offset_min,sessions,usd,pct_started_at_night
America/Los_Angeles,-420,261,4152.739782700002,0.7662835249042146
Asia/Tokyo,540,248,1138.3978547999998,25.0
Europe/Berlin,120,221,5470.7940414999985,9.95475113122172
America/New_York,-240,181,2766.1674543000004,12.707182320441989
America/Sao_Paulo,-180,58,4251.765722000002,20.689655172413794
Etc/UTC,0,33,185.219712,12.121212121212121
Europe/London,60,29,276.82767974999996,0.0
Europe/Paris,120,29,176.27639800000006,0.0
Europe/Madrid,120,20,149.209597,0.0
Europe/Athens,180,18,131.117746,0.0
Africa/Nairobi,180,18,53.8364725,33.333333333333336
Asia/Kolkata,330,16,71.15017850000001,50.0
America/Chicago,-300,12,17.039879,0.0
Europe/Stockholm,120,5,12.900634500000004,0.0
America/Toronto,-240,3,7.954748999999999,0.0
Europe/Brussels,120,3,5.943643,0.0
Australia/Melbourne,600,3,61.52854900000002,0.0
Asia/Shanghai,480,2,77.474818,0.0
Europe/Amsterdam,120,2,31.937975999999985,0.0
Asia/Karachi,300,2,7.669557499999998,0.0
Europe/Rome,120,2,1.7873005,0.0
America/Denver,-360,1,0.6880769999999999,0.0
