local_hour,sessions,usd,tool_error_rate_pct,abandonment_rate_pct,usd_per_committed_line
0,31,585.28498215,0.0,22.580645161290324,0.06663080397882513
1,41,299.86327939999984,0.0,14.634146341463415,0.014219616815250372
2,23,571.8708705000004,0.0,26.08695652173913,0.11713864614911929
3,9,99.41232500000001,0.0,66.66666666666667,0.22906065668202769
4,15,295.6044605,0.0,33.333333333333336,0.26800041749773346
5,20,90.14686799999998,0.0,10.0,0.02886547166186359
6,11,62.73551100000006,0.0,18.181818181818183,0.03329910350318475
7,18,129.9774244,0.0,11.11111111111111,0.02961435962633857
8,39,842.9090572500005,0.0,12.820512820512821,0.04027276909937891
9,55,3204.81235455,0.0,18.181818181818183,0.08002827634595215
10,79,1100.2513906,0.0,16.455696202531644,0.028152381930300393
11,87,970.1496711,0.0,17.24137931034483,0.04132869008690466
12,50,659.7084270000001,0.0,18.0,0.019443792242624307
13,111,2152.815087200002,0.0,24.324324324324323,0.004138540730929458
14,88,1620.66988045,0.0,14.772727272727273,0.03146870702413545
15,83,1484.6595326500005,0.0,12.048192771084338,0.020267006110845684
16,84,1492.6119339499999,0.0,17.857142857142858,0.08078215803160685
17,76,506.8317021499998,0.0,19.736842105263158,0.0013174725816220425
18,53,857.7615645000001,0.0,18.867924528301888,0.0252713913293265
19,42,61.42487080000001,0.0,4.761904761904762,0.001119278244865978
20,35,274.21685510000003,0.0,8.571428571428571,0.013250391645324959
21,28,390.98103049999986,0.0,21.428571428571427,0.02619989482677745
22,49,996.5860510000001,0.0,10.204081632653061,0.04932129322973375
23,40,297.14269279999996,0.0,10.0,0.013507714010364578
