harness_version,vkey,sessions,attachment_chars_per_session,human_chars_per_session,pct_injected
2.1.17,"[2, 1, 17]",54,,15236.62962962963,
2.1.34,"[2, 1, 34]",56,,7121.464285714285,
2.1.37,"[2, 1, 37]",74,,11774.716216216217,
2.1.39,"[2, 1, 39]",112,,14211.642857142857,
2.1.42,"[2, 1, 42]",149,,16028.577181208053,
2.1.44,"[2, 1, 44]",57,,11313.912280701754,
2.1.45,"[2, 1, 45]",117,,8059.709401709401,
2.1.47,"[2, 1, 47]",125,,5352.584,
2.1.49,"[2, 1, 49]",140,,5193.114285714286,
2.1.50,"[2, 1, 50]",181,,12453.767955801104,
2.1.52,"[2, 1, 52]",162,,5816.901234567901,
2.1.56,"[2, 1, 56]",58,,11512.913793103447,
2.1.59,"[2, 1, 59]",114,,12246.166666666666,
2.1.62,"[2, 1, 62]",224,,5250.513392857143,
2.1.63,"[2, 1, 63]",387,,6483.237726098191,
2.1.69,"[2, 1, 69]",63,,8863.52380952381,
2.1.70,"[2, 1, 70]",277,,5851.407942238267,
2.1.71,"[2, 1, 71]",184,,6150.380434782609,
2.1.72,"[2, 1, 72]",113,,7922.8938053097345,
2.1.74,"[2, 1, 74]",84,,7848.666666666667,
2.1.75,"[2, 1, 75]",145,,4705.979310344827,
2.1.76,"[2, 1, 76]",93,,11275.064516129032,
2.1.78,"[2, 1, 78]",58,,14394.344827586207,
2.1.79,"[2, 1, 79]",273,,17695.87545787546,
2.1.80,"[2, 1, 80]",75,,9736.346666666666,
2.1.81,"[2, 1, 81]",174,3.235632183908046,13097.258620689656,0.024698550462692027
2.1.84,"[2, 1, 84]",55,,6307.454545454545,
2.1.87,"[2, 1, 87]",65,809.6923076923077,10581.353846153846,7.108147019656465
2.1.89,"[2, 1, 89]",57,25.789473684210527,6589.140350877193,0.3898676836820483
2.1.91,"[2, 1, 91]",57,11941.877192982456,5950.824561403509,66.74160983013755
2.1.92,"[2, 1, 92]",169,11221.91124260355,6313.834319526627,63.994491724595676
2.1.112,"[2, 1, 112]",53,277724.07547169813,4472.8490566037735,98.41499014772035
2.1.114,"[2, 1, 114]",143,80398.30769230769,3254.8391608391607,96.10912525914532
2.1.116,"[2, 1, 116]",57,157913.35087719298,5334.438596491228,96.73230577045507
2.1.118,"[2, 1, 118]",92,43146.30434782609,3006.978260869565,93.48480088325717
2.1.119,"[2, 1, 119]",195,106575.77435897436,6609.948717948718,94.16008615021484
2.1.126,"[2, 1, 126]",66,87926.59090909091,5667.878787878788,93.94421614201175
2.1.128,"[2, 1, 128]",51,390899.8431372549,2078.372549019608,99.47112270704622
2.1.139,"[2, 1, 139]",59,55525.779661016946,5887.542372881356,90.41324882306219
2.1.143,"[2, 1, 143]",67,209779.62686567163,5813.298507462687,97.30357640567222
2.1.150,"[2, 1, 150]",136,186058.61764705883,5153.02205882353,97.3050688406052
2.1.170,"[2, 1, 170]",58,248387.10344827586,5967.206896551724,97.65397846473999
2.1.195,"[2, 1, 195]",58,135713.8103448276,23447.637931034482,85.26801673078864
