agent,event_type,subtype,events,payload_chars,payload_tokens,median_payload_chars
claude_code,progress,progress,1359488,2958147779,739536944.75,665.0
claude_code,user_image,user_image,2027,633510771,158377692.75,203035.0
codex,event_msg,exec_command_end,65269,252308000,63077000.0,2299.0
codex,compacted,compacted,1235,221784334,55446083.5,69553.0
codex,turn_context,workspace-write,8841,161987788,40496947.0,8636.0
claude_code,file-history-snapshot,file-history-snapshot,105433,159913216,39978304.0,779.0
claude_code,attachment,hook_success,119287,155553096,38888274.0,311.0
claude_code,queue-operation,queue-operation,122136,119357930,29839482.5,572.0
codex,event_msg,patch_apply_end,23578,57052190,14263047.5,1323.0
codex,event_msg,mcp_tool_call_end,5533,56160350,14040087.5,911.0
codex,session_meta,openai,2616,54644427,13661106.75,21335.0
codex,turn_context,danger-full-access,4105,46596590,11649147.5,1562.0
claude_code,attachment,skill_listing,3086,44787071,11196767.75,10906.0
codex,response_item,message:developer,2282,39055732,9763933.0,10894.0
codex,event_msg,agent_message,114591,33590316,8397579.0,191.0
codex,event_msg,thread_goal_updated,35750,30323140,7580785.0,852.0
claude_code,attachment,deferred_tools_delta,4200,26906083,6726520.75,3762.0
claude_code,attachment,edited_text_file,4578,24170802,6042700.5,6779.5
claude_code,attachment,async_hook_response,23714,21919943,5479985.75,366.0
claude_code,attachment,task_reminder,32132,18728445,4682111.25,51.0
claude_code,attachment,file,1785,15877741,3969435.25,6032.0
claude_code,attachment,queued_command,4297,14984713,3746178.25,453.0
codex,event_msg,task_complete,10550,14863037,3715759.25,1215.0
claude_code,attachment,diagnostics,6205,11936240,2984060.0,1571.0
claude_code,attachment,hook_additional_context,6936,10030254,2507563.5,442.0
claude_code,system,local_command,3980,9965918,2491479.5,130.0
claude_code,attachment,agent_listing_delta,751,8191192,2047798.0,7726.0
claude_code,last-prompt,last-prompt,78910,7480050,1870012.5,77.0
claude_code,attachment,mcp_instructions_delta,2389,6637601,1659400.25,2192.0
claude_code,pr-link,pr-link,28992,6370057,1592514.25,220.0
