session_id,seq,k_before,k_after,agent,mode,repo,tool_kind,tool_name,what,result_chars,later_calls,rent_tokens,rent_usd,stratum_pick,stratum
019e8c4a-fce8-7c63-a3e9-08fd96884c12-ba3d321274cb,12073,3,12,codex,unknown,evorto-app/app,other,js,,15431,6766,26101536.5,13.05076825,random_over_5k,codex|other
019e8c4a-fce8-7c63-a3e9-08fd96884c12-e096ea147a34,65179,3,12,codex,unknown,evorto-app/app,other,js,,10753,2546,6844284.5,3.42214225,random_over_5k,codex|other
469e58d2-a1b1-4eb8-b65f-b02fefb8bb77,3090,3,12,claude_code,collab,roo-oliv/monodreams,read,Read,/tmp/settings_4x.png,49630,530,6575975.0,3.2879875,random_over_5k,claude_code|read
ses_1fe66c14effeU5Zvqjz7WOGWaF,102,3,12,opencode,vibe,entireio/cli-checkpoints,web,webfetch,,51385,363,4663188.75,2.331594375,random_over_5k,opencode|web
6629a885-3d0f-45f3-b34c-af9881428368,85,3,12,claude_code,unknown,pcastelo/lock_code_manager,web,WebSearch,home assistant ha-dialog primaryAction secondaryAction slot deprecated 2025 2026,7234,2501,4523058.5,2.26152925,random_over_5k,claude_code|web
019e5deb-595e-7542-9c0d-69e8b7d894d5,209,3,12,codex,unknown,edhor1608/qwer-q,other,_fetch,,10603,1542,4087456.5,2.04372825,random_over_5k,codex|other
019d64c5-2795-7463-8fff-73c754b04b4c,58,3,12,codex,vibe,zchee/zmux,mcp,mcp__filesystem__read_multiple_files,,113159,245,6930988.75,1.7327471875,random_over_5k,codex|mcp
019e5d87-db21-77f1-988f-4eeb0f07811c-92e842573ead,4892,3,12,codex,vibe,fogodev/ars-ui,other,_list_pull_request_review_threads,,34054,405,3447967.5,1.72398375,random_over_5k,codex|other
ses_1fe66c14effeU5Zvqjz7WOGWaF,101,3,12,opencode,vibe,entireio/cli-checkpoints,web,webfetch,,37006,364,3367546.0,1.683773,random_over_5k,opencode|web
019e5d83-477f-7ea1-9c87-e37f379078af,3135,3,12,codex,collab,fogodev/ars-ui,other,_fetch_pr_comments,,47761,275,3283568.75,1.641784375,random_over_5k,codex|other
ses_1fe66c14effeU5Zvqjz7WOGWaF,102,3,12,opencode,vibe,entireio/cli-checkpoints,web,webfetch,,35010,363,3177157.5,1.58857875,random_over_5k,opencode|web
019d724a-df1e-7e20-b01c-6caf0bb02e7a,66,3,12,codex,vibe,dayhaysoos/nimbus,mcp,mcp__codex_apps__github_fetch,,37220,605,5629525.0,1.40738125,random_over_5k,codex|mcp
019ec66b-5210-7711-a71e-86632c398f1f,103,3,12,codex,collab,blackgirlbytes/planetfall-seed-signalkit,other,js,,31457,348,2736759.0,1.3683795,random_over_5k,codex|other
019d64c5-2795-7463-8fff-73c754b04b4c,547,3,12,codex,vibe,zchee/zmux,mcp,mcp__filesystem__read_multiple_files,,111745,189,5279951.25,1.3199878125,random_over_5k,codex|mcp
cbaf4029-7236-4b9d-9634-7a812f837cc8,61,3,12,claude_code,vibe,1natsu-vacation/agent-skills,web,WebFetch,,32978,311,2564039.5,1.28201975,random_over_5k,claude_code|web
019ed2e2-c0ba-7551-9a3b-dcad81973311,324,3,12,codex,unknown,blackgirlbytes/planetfall-seed-signalkit,other,js,,31457,305,2398596.25,1.199298125,random_over_5k,codex|other
fb93c4d8-9548-4a4c-97e6-364245c50453,85,3,12,claude_code,human,entireio/cli-checkpoints,bash,Bash,gh api repos/openai/privacy-filter/readme --jq '.content' 2>&1 | base64 -d 2>/dev/null | head -200,12609,760,2395710.0,1.197855,random_over_5k,claude_code|bash
28dd7259-aded-4f4a-90cb-540849b25278,223,3,12,claude_code,human,armelhbobdad/bmad-module-skill-forge,web,WebFetch,,41402,202,2090801.0,1.0454005,random_over_5k,claude_code|web
94aabe90-9b2d-48e7-be8c-6bf820a0b6a9,2771,3,12,claude_code,unknown,serg-alexv/rhea-project,glob,Glob,,5360,1439,1928260.0,0.96413,random_over_5k,claude_code|glob
019d724a-df1e-7e20-b01c-6caf0bb02e7a,35,3,12,codex,vibe,dayhaysoos/nimbus,mcp,mcp__codex_apps__github_fetch,,25089,607,3807255.75,0.9518139375,random_over_5k,codex|mcp
019e8c4a-fce8-7c63-a3e9-08fd96884c12-ba3d321274cb,58368,3,12,codex,unknown,evorto-app/app,other,js,,6518,1024,1668608.0,0.834304,random_over_5k,codex|other
019d633b-5b67-7971-a43c-1a2d068388d1,81,3,12,codex,vibe,zchee/zmux,mcp,mcp__filesystem__read_multiple_files,,286440,46,3294060.0,0.823515,random_over_5k,codex|mcp
a33e4939-e8b1-4b81-aaa1-168fd7fc382f,2834,3,12,claude_code,human,TheurgicDuke771/DataQ,bash,Bash,gh pr diff 544,7404,361,668211.0,0.668211,random_over_5k,claude_code|bash
019ed688-f0d8-7531-a5f3-ca1cf17f7c75,259,3,12,codex,human,blackgirlbytes/planetfall-seed-signalkit,other,js,,31457,165,1297601.25,0.648800625,random_over_5k,codex|other
019d783b-5901-7592-b09d-ce70710faeaa,522,3,12,codex,human,entireio/cli-checkpoints,mcp,mcp__codex_apps__github_fetch_pr,,90549,114,2580646.5,0.645161625,random_over_5k,codex|mcp
ses_25ba963bdffeUnzAsqx26HNZ5d,13,3,12,opencode,vibe,ishaan812/reflex.md,web,webfetch,,8180,598,1222910.0,0.611455,random_over_5k,opencode|web
ses_32543468affeyW1YI2BEqJxTCu,10,3,12,opencode,vibe,dayhaysoos/nimbus,web,webfetch,,32759,412,3374177.0,0.590480975,random_over_5k,opencode|web
019d724a-df1e-7e20-b01c-6caf0bb02e7a,24,3,12,codex,vibe,dayhaysoos/nimbus,mcp,mcp__codex_apps__github_fetch,,14245,608,2165240.0,0.54131,random_over_5k,codex|mcp
ses_1fe66c14effeU5Zvqjz7WOGWaF,110,3,12,opencode,vibe,entireio/cli-checkpoints,other,skill,,11992,359,1076282.0,0.538141,random_over_5k,opencode|other
8f1ee6f8-197f-4dea-9f83-0f2fe088e5b9,346,3,12,claude_code,human,tpmjs/tpmjs,write,Write,apps/web/src/components/ExecutorConfigPanel.tsx,13418,313,1049958.5,0.52497925,random_over_5k,claude_code|write
2b3ebe95-a039-46be-9a43-347debb84793,42,3,12,claude_code,human,ta93abe/data-engineering-with-cloudflare,glob,Glob,,17692,234,1034982.0,0.517491,random_over_5k,claude_code|glob
1a289c77-a9da-491d-954a-2df7f0dd6a17-8eacff7bdb26,2713,3,12,claude_code,human,E2E-Solution/cli,bash,Bash,"gh api repos/entireio/cli/pulls/172/comments/2777185969/replies \
  -f body=""This state is intentionally representative. In production, the sequence is:

1. Agent saves checkpoint via \`SaveChanges\` ",9730,419,1019217.5,0.50960875,random_over_5k,claude_code|bash
