probe,session_id,agent,model,seq,tool_use_id,tool_kind,file_path,result_chars,result_bytes,gzip_bytes,gzip_ratio,bucket
bash,0020a454-e7a8-43c9-ba7a-4e85bfa59f81,claude_code,claude-opus-4-7,118,toolu_01Rzrd6RFpAUdAPBGJbLEsvX,bash,,96,96,90,1.0666666666666667,<2
bash,0037b66c-b39e-47f9-bf42-112d0c4d953d,claude_code,claude-opus-4-6,79,toolu_01LTXYgpLCA8SJdsQEw2JREf,bash,,1685,1685,658,2.560790273556231,2-3
bash,0042d351-fad5-4c90-8890-a26276efc046,claude_code,claude-opus-4-6,339,toolu_01Hkf5pZGwfviSh7zPjwExFn,bash,,1491,1491,695,2.145323741007194,2-3
bash,0042d351-fad5-4c90-8890-a26276efc046,claude_code,claude-opus-4-6,1362,toolu_01BkDp4RGayRQCX7bDvGKSnD,bash,,251,253,183,1.3825136612021858,<2
bash,00468b34-359e-43a2-b0bb-30677f1aee5e,claude_code,claude-opus-4-6,26,toolu_01DUhS37nGDC36VPF7v5JSfr,bash,,243,243,114,2.1315789473684212,2-3
bash,0089b721-164c-476c-9775-2d08554cb17d,claude_code,claude-opus-4-8,282,toolu_01PHBKREL74pSo39AEZzBgjD,bash,,705,705,260,2.7115384615384617,2-3
bash,012dbfb0-86fd-41e2-baf6-29dd614f08e4,claude_code,claude-opus-4-6,326,toolu_01PVPVe9zkyCFqomLUXxvwYK,bash,,31,31,39,0.7948717948717948,<2
bash,0148c829-b666-424a-aaa9-11ebefd23a83,claude_code,claude-opus-4-6,550,toolu_01DJS5eJCHP8SjDfamZXMeVP,bash,,2167,2167,862,2.5139211136890953,2-3
bash,019d29cb-beff-74c0-baf4-5d94d40633a6,codex,gpt-5.4,261,call_M1OBrctsciwQqhI0Db6dQBs8,bash,,2516,2516,904,2.7831858407079646,2-3
bash,019d29cb-beff-74c0-baf4-5d94d40633a6,codex,gpt-5.4,1032,call_DowkE0IoovaW10iAkejXzqr1,bash,,213,213,164,1.298780487804878,<2
bash,019d3167-6621-7771-9c5e-827e953d672a,codex,gpt-5.4,58,call_jGh2qhNpdvvENSUNXG7JbhTn,bash,,6786,6786,1688,4.020142180094787,3-5
bash,019d3167-6621-7771-9c5e-827e953d672a,codex,gpt-5.4,805,call_EbkvEw4Kk5nF9f3Neg8paXri,bash,,3303,3303,1260,2.6214285714285714,2-3
bash,019d3167-6621-7771-9c5e-827e953d672a,codex,gpt-5.4,1232,call_lsFbpendvJL2KxI0AHxFQLIW,bash,,15198,15198,1866,8.144694533762058,5-10
bash,019d39c4-0338-7182-b7e7-41fd324ebc66,codex,gpt-5.4,76,call_1XAZacykblNPaB5wugVXkIbI,bash,,3335,3335,1021,3.266405484818805,3-5
bash,019d4a60-fa22-7ab2-83aa-704f3e10fd59,codex,gpt-5.4,31,call_wXGyrOajdJPgyYi0SbUFSNlQ,bash,,8246,8288,3379,2.4527966854098846,2-3
bash,019d4a60-fa22-7ab2-83aa-704f3e10fd59,codex,gpt-5.4,404,call_5bXja5bu0TBKaCnm1nZTIGFz,bash,,282,282,222,1.2702702702702702,<2
bash,019d4a60-fa22-7ab2-83aa-704f3e10fd59,codex,gpt-5.4,458,call_86HpsBkLKlnOHY4Oawl8VW1n,bash,,6856,6856,2096,3.2709923664122136,3-5
bash,019d4a75-32c0-7c01-8ff2-e73490bea568,codex,gpt-5.4,317,call_YLznpHol3aSRT79XnlFXeKpN,bash,,2696,2696,471,5.7239915074309975,5-10
bash,019d4a75-32c0-7c01-8ff2-e73490bea568,codex,gpt-5.4,1066,call_K02KNadLl5DqEUyxYO2SovR8,bash,,444,444,257,1.727626459143969,<2
bash,019d4abe-dc15-7453-b782-58b7722b5148,codex,gpt-5.4,276,call_ty5K1wArDZhgQnKNTeuZWxXp,bash,,4728,4728,1448,3.265193370165746,3-5
bash,019d4abe-dc15-7453-b782-58b7722b5148,codex,gpt-5.4,468,call_c0rtXD1KZsc1kSIkiPjmkkZy,bash,,1138,1138,459,2.479302832244009,2-3
