probe,session_id,agent,model,seq,tool_use_id,tool_kind,file_path,result_chars,n_lines,style,n_prefixed_lines,prefix_chars,prefix_share,prefixed_line_share
read,004407cd-4bb6-40a4-9ab1-445b085e4dfe,claude_code,claude-opus-4-6,347,toolu_01AW2uBPvnDf3urM2aAB8k8v,read,/Users/blittle/dev/pressy/packages/@pressy/components/src/Reader.tsx,1333,25,arrow,25,175,0.1312828207051763,1.0
read,005f0e42-2d4a-421a-a981-465404b60aab,claude_code,claude-opus-4-6,18,toolu_01TAbMWmchunKxMPZXmFDqqF,read,/home/openclaw/code/tuicraft/src/daemon/commands.ts,929,28,arrow,28,196,0.2109795479009688,1.0
read,005f0e42-2d4a-421a-a981-465404b60aab,claude_code,claude-opus-4-6,42,toolu_01WNkyUiZEVkze6Y7eUJD6T7,read,/home/openclaw/code/tuicraft/src/wow/world-handlers.test.ts,3379,100,arrow,100,700,0.20716188221367268,1.0
read,006568a5-6793-4fe0-ac98-1ddb8d2ba23b,claude_code,claude-opus-4-6,365,toolu_012kJJLVDwancnFqfNtxGNJF,read,/Users/soph/Work/entire/devenv/cli/cmd/entire/cli/strategy/phase_wiring_test.go,726,15,arrow,10,70,0.09641873278236915,0.6666666666666666
read,008d0ecf-0046-4993-ba13-6370601ece23,claude_code,claude-opus-4-6,242,toolu_019w5wAHAXAvBKXvuXfLq8hx,read,/Users/135yshr/projects/135yshr/documents/articles/7c5d99d5f45ed7.md,5070,154,arrow,154,1078,0.2126232741617357,1.0
read,0157b421-626f-47d1-9caf-6cea94c6d82f,claude_code,claude-fable-5,114,toolu_01WrGpgKhB2jzSeDXumPspQy,read,/home/noah/projects/readaloud/apps/readaloud_web/assets/js/lib/player_event_buffer.ts,6812,187,tab,187,640,0.09395184967704051,1.0
read,01666f76-e686-46bf-8af6-a630c66687ce,claude_code,claude-sonnet-4-6,66,toolu_01TfKmN6qnJSCr2xs8H5mcfL,read,/home/parth/ws/taskflow/backend/alembic/versions/20260217_0002_add_tasks_table.py,3371,79,arrow,74,518,0.15366360130525067,0.9367088607594937
read,018427c2-6807-4b10-b33b-3bfc78dd5c73,claude_code,claude-opus-4-6,47,toolu_01GtyH5BHPB5DdjUrrDXGFiE,read,/Users/michael/Code/cipher-box/apps/web/src/components/file-browser/ShareDialog.tsx,1547,40,arrow,40,280,0.18099547511312217,1.0
read,01bdfe47-aa15-42ed-bb6a-71aedb7e8063,claude_code,claude-opus-4-6,1256,toolu_01JgLfLVbcqzmTq1ABmQGsSU,read,/Users/hungpq2412/neuralips26/scripts/run_rr_moa.py,1204,25,tab,25,100,0.08305647840531562,1.0
read,02245e88-9cb0-4cea-8a37-bfe404143a4e,claude_code,claude-sonnet-4-6,84,toolu_011hQr2YrPJzvxsQNo4ZyU8L,read,/home/adrien/Nextcloud/IdEst/Projets/pqverse/pqverse_pkg/MiscMetabar/R/alpha_div_test.R,537,8,tab,8,32,0.0595903165735568,1.0
read,02404e25-25f9-4c6c-a8d4-3a5c1c753333,claude_code,claude-opus-4-7,41,toolu_01UAAJNikk1X2F4SSmcLsUqf,read,/Users/danobrien/code/symphony-workspaces/_90/web-backend/dagger.json,145,9,tab,9,18,0.12413793103448276,1.0
read,0259ddbc-0529-49f9-b8fb-c297a676d3f6,claude_code,claude-opus-4-6,683,toolu_012eT12mJ4Tw7tfTNHQtAKnt,read,REDACTED.output,99,1,none,0,0,0.0,0.0
read,02771477-c7e9-42df-b78d-4b6eb70343ed,claude_code,claude-opus-4-6,121,toolu_017FNcBPxTsNUu42hiXVEoeQ,read,/Users/penso/.superset/worktrees/moltis/cookie-phrase/crates/skills/src/formats.rs,1765,40,arrow,40,280,0.15864022662889518,1.0
read,02981995-7383-484b-a695-5d943aa0e4e8,claude_code,claude-opus-4-8,1123,toolu_01PxDzCJPasHCHiez2ySMjVy,read,/Users/jakobfaber/.local/bin/agent-closeout-check,2873,78,tab,78,242,0.08423250957187609,1.0
read,02981995-7383-484b-a695-5d943aa0e4e8,claude_code,claude-opus-4-8,3055,toolu_01GpTWzJTUoMiZgRjCwRfTYK,read,/Users/jakobfaber/Developer/overleaf/Faber2026/sections/results.tex,937,12,tab,12,36,0.0384204909284952,1.0
read,02b9482c-d80f-444a-8dfa-08140f590d6a,claude_code,claude-opus-4-6,589,toolu_01KtWW7CyTXYxZAoCAJjQH3V,read,/Users/ajaxdavis/repos/tpmjs/tpmjs/apps/web/src/test/integration/agents/agents-crud.integration.test.ts,2014,60,arrow,60,420,0.20854021847070506,1.0
read,02b9482c-d80f-444a-8dfa-08140f590d6a,claude_code,claude-opus-4-6,666,toolu_01CQQf8y8kpVL5agPxUAL3zH,read,/Users/ajaxdavis/repos/tpmjs/tpmjs/apps/web/src/test/integration/sandbox/sandbox-shell-e2e.integration.test.ts,11771,263,arrow,263,1841,0.15640132529096934,1.0
read,02bf0eec-e39b-4d26-876b-22a2af646441,claude_code,claude-opus-4-6,232,toolu_0126VPBMFjGmpDJKhA2WTQcP,read,/Users/marcus/conductor/workspaces/brain/riga/cli/config.ts,5440,138,arrow,138,966,0.1775735294117647,1.0
read,02cbcf8b-9c6e-4235-9ed1-e0f78b61506e,claude_code,claude-sonnet-4-6,237,toolu_01WQ3X88FcYr5W1jpjCqUHWK,read,/home/hj/.claude/plans/cuddly-fluttering-key.md,12417,353,arrow,348,2436,0.19618265281468955,0.9858356940509915
read,02fb3574-745d-4ab7-a364-be6fe7190d7b,claude_code,claude-opus-4-7,206,toolu_0139n6PrJfwWJQjPTHUsxWcg,read,/Users/ninawork/entire/devenv/cli/cmd/entire/cli/migrate_test.go,1522,40,tab,40,120,0.07884362680683311,1.0
read,030aecf6-cf9d-4c77-8308-cac279d87004,claude_code,claude-opus-4-7,646,toolu_014Lh8VjpCeW3Fd6n8mmt1vQ,read,/Users/pc035860/git/agent-tail/src/claude/subagent-detector.ts,2025,66,tab,66,264,0.13037037037037036,1.0
read,030aecf6-cf9d-4c77-8308-cac279d87004,claude_code,claude-opus-4-7,2579,toolu_01BrHqfuFFBZt9pTxHHyFxRj,read,/Users/pc035860/git/agent-tail/src/index.ts,221,10,tab,10,30,0.13574660633484162,1.0
read,0320cd90-509a-4916-8b0b-9d383f27cb89,claude_code,claude-opus-4-6,213,toolu_01GmEcMegtkn7P3x5rQBe7iB,read,/Users/penso/.superset/worktrees/moltis/truthful-season/crates/config/src/loader.rs,2752,50,arrow,50,350,0.12718023255813954,1.0
read,0378da64-4c09-4ccf-aa30-449a542d61fc,claude_code,claude-opus-4-7,48,toolu_01RJr1UBWD9unubS74wdYn5f,read,/Users/hungpq2412/neuralips26/main.tex,2918,3,tab,3,12,0.00411240575736806,1.0
read,038b76a5-f873-432b-b0e0-66910435626a,claude_code,claude-opus-4-7,3200,toolu_01MFEnKapwctCvbgXqiKn9R4,read,/Users/yongkangzou/Desktop/Hackathons/BigBerlinHack2026/Clio/frontend/app/page.tsx,932,25,tab,25,100,0.1072961373390558,1.0
read,038c5579-e3e2-448d-a97e-ad16531bd79d,claude_code,claude-opus-4-6,619,toolu_01DsQKeipx6Xsok3HSHbFrq8,read,/Users/marcus/conductor/workspaces/brain/richmond/.context/attachments/pasted_text_2026-03-08_03-24-23.txt,197,1,none,0,0,0.0,0.0
read,03a1382e-ecd5-42c4-b3d4-5c659e165904,claude_code,claude-opus-4-6,797,toolu_01TMEf4GTXMcc67JmAj3ANCN,read,/Users/alex/workspace/cli/.worktrees/1/cmd/entire/cli/strategy/manual_commit_hooks.go,711,20,arrow,15,105,0.14767932489451477,0.75
read,03a2fe8d-6e7a-4f40-a3dc-0edf362f5aa8,claude_code,claude-opus-4-6,25,toolu_015FwXxgEWsL8GLnnptqtpRM,read,/Users/cedricteyton/Code/agents-md-evaluator/src/api/db/remediation-repository.ts,10778,299,arrow,299,2093,0.19419187233252921,1.0
read,03a61d43-de91-4d6e-bfe8-713eec2bfec6,claude_code,claude-opus-4-6,477,toolu_01KLyhJYVmTm1mDX7vrnfhWf,read,/Users/basher8383/3I/forge/tailnet-microservices/services/oauth-proxy/src/proxy.rs,1153,30,tab,30,120,0.10407632263660017,1.0
read,03bf1259-a902-496e-bab3-52a3b67f0738,claude_code,claude-opus-4-7,1065,toolu_01Svo2zLdpwxGFkNRtJQsmCV,read,/Users/danobrien/code/family-schedule-app/web-backend/family_agent/tests/test_runtime.py,2253,60,tab,60,180,0.07989347536617843,1.0
read,041ef973-a4eb-4d5b-8f30-867621fbcfaf,claude_code,claude-opus-4-6,281,toolu_01YakeJddrHZ8rwe9t8spWQ7,read,/Users/michael/Code/cipher-box/apps/desktop/src-tauri/src/fuse/inode.rs,5646,90,arrow,90,630,0.11158342189160468,1.0
read,0483ba58-1635-415a-b418-41a2f7114f79,claude_code,claude-opus-4-6,78,toolu_01BuXbVePmH54hmZti5Y1e7r,read,/Users/marlin/.claude/projects/-Users-marlin-cmux-companion/memory/MEMORY.md,308,5,tab,5,10,0.032467532467532464,1.0
read,0483ba58-1635-415a-b418-41a2f7114f79,claude_code,claude-opus-4-6,987,toolu_013j3pMPaKN1UAwxntwre6bj,read,/Users/marlin/cmux-companion/bridge/go.mod,66,3,tab,3,6,0.09090909090909091,1.0
read,04bed52e-adc8-429c-aab1-a555f681fc3b,claude_code,claude-opus-4-6,584,toolu_01NMbPffVg3FeEg4e5XLnjJk,read,/home/armel/Projects/OSS/bmad-module-skill-forge/src/workflows/create-skill/steps-c/step-07-generate-artifacts.md,1367,35,arrow,35,245,0.17922457937088515,1.0
read,05191897-e787-4cc4-8ab6-86dfbb7e5f10,claude_code,claude-sonnet-4-6,25,toolu_01MDyNJMrmrLEbztqnZFbXEf,read,/Users/zchee/src/github.com/zchee/agentmux/src/cmd/cmd.zig,8900,205,tab,200,1000,0.11235955056179775,0.975609756097561
read,054bd433-cf13-416a-af41-48f036301c08,claude_code,claude-opus-4-6,18,toolu_01Vq6SvedqYCWE4PPR62At2Z,read,/Users/cedricteyton/Code/agents-md-evaluator/frontend/src/components/RemediateTab.tsx,34460,957,arrow,957,6699,0.19439930354033663,1.0
read,0572b5e5-f947-41d2-a9bf-b9ed83dd2f02,claude_code,claude-opus-4-6,844,toolu_01SsanUHjpEkYZ5EfAHZuSf5,read,/Users/basher8383/dev/personal/ralph/tailnet-microservices/RUNBOOK.md,3550,58,arrow,58,406,0.1143661971830986,1.0
read,05fb2931-32eb-4edb-985b-538c30116e8b,claude_code,claude-opus-4-6,116,toolu_01G7vomhuPtF3Yi4qVEWDXvK,read,/home/felt/PycharmProjects/s2morrow/apps/demo/src/components/landing/WhyPostQuantum.tsx,1883,37,arrow,37,259,0.137546468401487,1.0
read,05fb2931-32eb-4edb-985b-538c30116e8b,claude_code,claude-opus-4-6,152,toolu_018KzrgWnN6NThgVQqrtpwuf,read,/home/felt/PycharmProjects/s2morrow/apps/demo/src/atoms/pipeline.ts,2333,68,arrow,68,476,0.204029147021003,1.0
read,062a8bdd-4322-4ffa-bc38-3e8b8bfb5a56,claude_code,claude-opus-4-5-20251101,199,toolu_01Q7Ztv84FbWf9at2zA9toJ1,read,/Users/alex/workspace/cli/.worktrees/1/cmd/entire/cli/session/state.go,4457,90,arrow,85,595,0.13349786852142698,0.9444444444444444
read,064dbcd3-7c79-4a70-a6ce-c90f3b34d1f1,claude_code,claude-opus-4-6,122,toolu_01LYjojq1NFSmKXGAwVnmcAv,read,/Users/alisha/Projects/wt/cli-e2e-triage-fix/.claude/skills/e2e/triage-ci.md,8673,177,arrow,177,1239,0.14285714285714285,1.0
read,064dbcd3-7c79-4a70-a6ce-c90f3b34d1f1,claude_code,claude-opus-4-6,424,toolu_01Etj3ipw9XaS6bt32eTs3Zw,read,/Users/alisha/Projects/wt/cli-e2e-triage-fix/.github/workflows/e2e-triage.yml,1798,35,arrow,35,245,0.13626251390433816,1.0
read,06602c4e-958c-4eaa-a2c8-05f2cba95b21,claude_code,claude-sonnet-4-6,631,toolu_01STuvS2hReRqgeVqYJ47s3y,read,/Users/vfaraji89/Documents/contribuet-github/tokalator/paper/tokalator-paper.tex,23796,255,arrow,250,1750,0.07354177172634056,0.9803921568627451
read,06602c4e-958c-4eaa-a2c8-05f2cba95b21,claude_code,claude-sonnet-4-6,1181,toolu_01F9rAiskcLVBLwP3hvy33pk,read,/Users/vfaraji89/Documents/contribuet-github/tokalator/paper/references.bib,1130,20,arrow,15,105,0.09292035398230089,0.75
read,067293a3-7828-494c-9478-7df23d1e12fd,claude_code,claude-sonnet-4-6,30,toolu_01TyuMTXnrS8b8FAupPYqrGg,read,/Users/prayash/learn/agent-labs/web/app/runs/page.tsx,3411,90,tab,90,261,0.07651715039577836,1.0
