probe,session_id,agent,model,seq,tool_use_id,tool_kind,file_path,ext,json_bytes,string_leaf_chars,json_overhead_bytes,json_overhead_share,content_chars,n_newlines,n_quotes,indent_chars,newline_share,quote_share,indent_share
write,000bf37f-e4a3-4e37-804d-2fad2928e440,claude_code,claude-opus-4-7,1264,toolu_01V86yJRmvZC7fujUq4ic3yi,edit,/Users/yongkangzou/Desktop/Hackathons/BigBerlinHack2026/Clio/backend/app/reasoner/schema.py,py,2679,2508,171,0.06382978723404255,1358,37,10,37,0.027245949926362298,0.007363770250368188,0.027245949926362298
write,000bf37f-e4a3-4e37-804d-2fad2928e440,claude_code,claude-opus-4-7,2391,toolu_01FkYQYAXVSzjUpmhpr1ZRaZ,edit,/Users/yongkangzou/Desktop/Hackathons/BigBerlinHack2026/Clio/model_service/deploy/modal_app.py,py,2336,2216,120,0.05136986301369863,1558,27,12,732,0.017329910141206675,0.007702182284980745,0.46983311938382544
write,0020a454-e7a8-43c9-ba7a-4e85bfa59f81,claude_code,claude-opus-4-7,66,toolu_013XDAsyGQVjcHAx8Jxb5hKi,edit,/home/christian/dev/astro/aunova/aunova-new/src/pages/greenblocks.astro,other,4959,4674,285,0.05747126436781609,1753,45,40,574,0.02567027952082145,0.022818026240730177,0.32743867655447806
write,0020a454-e7a8-43c9-ba7a-4e85bfa59f81,claude_code,claude-opus-4-7,76,toolu_012FK4bWgYwLnbhGUjuyXe2P,edit,/home/christian/dev/astro/aunova/aunova-new/src/pages/greenblocks.astro,other,3428,3202,226,0.06592765460910152,1800,41,44,454,0.02277777777777778,0.024444444444444446,0.25222222222222224
write,0020a454-e7a8-43c9-ba7a-4e85bfa59f81,claude_code,claude-opus-4-7,89,toolu_01AozKtYWsxsehDcs3ecNZ3j,edit,/home/christian/dev/astro/aunova/aunova-new/src/pages/greenblocks.astro,other,1546,1415,131,0.08473479948253558,1205,58,0,66,0.048132780082987554,0.0,0.054771784232365145
write,0042d351-fad5-4c90-8890-a26276efc046,claude_code,claude-opus-4-6,2293,toolu_01PFd7WdcHTvkJPie19AfF4m,write,/Users/raman/.claude/plans/jolly-wandering-moonbeam.md,md,5534,5356,178,0.032164799421756415,5302,139,0,0,0.026216522067144473,0.0,0.0
write,006568a5-6793-4fe0-ac98-1ddb8d2ba23b,claude_code,claude-opus-4-6,69,toolu_01DkVfA1UVsyqitzUaUR1V9h,edit,/Users/soph/Work/entire/devenv/cli/cmd/entire/cli/session/phase.go,go,454,384,70,0.15418502202643172,148,1,0,0,0.006756756756756757,0.0,0.0
write,006568a5-6793-4fe0-ac98-1ddb8d2ba23b,claude_code,claude-opus-4-6,94,toolu_01UAqbtE1pbdUPZ2okqZfh84,edit,/Users/soph/Work/entire/devenv/cli/cmd/entire/cli/session/phase.go,go,515,443,72,0.13980582524271845,175,2,0,0,0.011428571428571429,0.0,0.0
write,006568a5-6793-4fe0-ac98-1ddb8d2ba23b,claude_code,claude-opus-4-6,147,toolu_01BjZNFdzSBNVcEmJNWkKinV,edit,/Users/soph/Work/entire/devenv/cli/cmd/entire/cli/strategy/manual_commit_hooks.go,go,6192,5684,508,0.08204134366925064,1073,26,8,39,0.024231127679403542,0.007455731593662628,0.036346691519105315
write,006568a5-6793-4fe0-ac98-1ddb8d2ba23b,claude_code,claude-opus-4-6,363,toolu_018tnqhbPKNBMBeQDVxADnXe,edit,/Users/soph/Work/entire/devenv/cli/cmd/entire/cli/strategy/phase_wiring_test.go,go,538,464,74,0.137546468401487,176,2,0,0,0.011363636363636364,0.0,0.0
write,007f1a33-fa8e-44c6-9836-4a6fa6e03c0a,claude_code,claude-opus-4-6,228,toolu_01X8HGZ2Co2vfuqoFrCMR5Dd,edit,/Users/135yshr/projects/135yshr/documents/articles/f14c01658cd157.md,md,511,209,302,0.5909980430528375,73,3,0,0,0.0410958904109589,0.0,0.0
write,00acd976-784c-4077-95cd-19aa1b51739b,claude_code,claude-opus-4-6,55,toolu_01A3UCtA1QS8WFcFLRLqxCQh,edit,/Users/cedricteyton/Code/agents-md-evaluator/src/shared/file-system/file-finder.ts,ts,507,420,87,0.17159763313609466,202,3,8,0,0.01485148514851485,0.039603960396039604,0.0
write,00acd976-784c-4077-95cd-19aa1b51739b,claude_code,claude-opus-4-6,63,toolu_013rT9uyCsgx16oMeBHagRqX,edit,/Users/cedricteyton/Code/agents-md-evaluator/src/shared/file-system/file-finder.ts,ts,1494,1177,317,0.21218206157965194,880,31,4,168,0.035227272727272725,0.004545454545454545,0.19090909090909092
