file_path_80,rereads_after_a_boundary,sessions,chars
cmd/entire/cli/strategy/manual_commit_hooks.go,257,48,1846415
src/rhea_bridge.py,71,4,893850
scripts/rhea_query_persist.sh,52,1,188644
static/index.html,51,5,128889
cmd/entire/cli/strategy/manual_commit_condensation.go,51,26,405641
cmd/entire/cli/checkpoint/temporary.go,43,11,345666
cmd/entire/cli/hooks_claudecode_handlers.go,42,21,864872
/Users/sa/rh.REDACTED.md,41,2,32669
cmd/entire/cli/explain.go,37,10,480458
src/clio_pipeline/pipeline/run_pipeline.py,34,1,54958
src/trading/live_trading.py,33,3,101955
cmd/entire/cli/lifecycle.go,31,16,261990
cmd/entire/cli/setup.go,30,9,360466
client/src/App.tsx,29,4,49996
docs/plans/2026-02-06-session-phase-state-machine-v2.md,29,4,337395
cmd/entire/cli/resume.go,26,8,140268
/Users/sa/rh.1/ops/rhea_firebase.py,26,1,37648
cmd/unified-server/public_html/map.html,26,5,63540
src/components/UserChat.vue,23,1,110781
scribe/src/sync/apply.rs,23,6,238109
